"cnpj";"coalesce";"coalesce";"coalesce";"y"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"73089010-000";"0";"tributado"
14;"1556";"39172300-000";"0";"tributado"
14;"1556";"39172900-000";"0";"tributado"
14;"1556";"39259090-000";"0";"tributado"
14;"1556";"61169200-000";"0";"tributado"
14;"1556";"73269090-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39172300-000";"0";"tributado"
14;"1556";"39172300-000";"0";"tributado"
14;"1556";"73084000-000";"0";"tributado"
14;"1556";"73089010-000";"0";"tributado"
14;"1556";"73089010-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"73089010-000";"0";"tributado"
14;"1556";"73181600-000";"0";"tributado"
14;"1556";"73089010-000";"0";"tributado"
14;"1556";"73181500-000";"0";"tributado"
14;"1556";"73089010-000";"0";"tributado"
14;"1556";"73084000-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"73181500-000";"0";"tributado"
14;"1556";"39172900-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1556";"40169300-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1653";"27101932-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101921-000";"0";"sem incidencia - combustiveis"
14;"1556";"73072300-000";"0";"tributado"
14;"2407";"35069190-000";"0";"tributado"
14;"2407";"27129000-000";"0";"tributado"
14;"2407";"48234000-000";"0";"tributado"
14;"1556";"87089990-000";"0";"monofasico revenda de produtos"
14;"1556";"73066100-000";"0";"tributado"
14;"1653";"27101259-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101921-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101921-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101921-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101259-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101921-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101921-000";"0";"sem incidencia - combustiveis"
14;"1653";"27101259-000";"0";"sem incidencia - combustiveis"
14;"1556";"73072300-000";"0";"tributado"
14;"1556";"85472090-000";"0";"tributado"
14;"2556";"39191010-000";"0";"tributado"
14;"2556";"39191010-000";"0";"tributado"
14;"2407";"73181500-000";"0";"tributado"
14;"2407";"73181600-000";"0";"tributado"
14;"1556";"72169100-000";"0";"tributado"
14;"1551";"94051099-000";"0";"tratamento via modulo de imobilizado"
14;"1551";"39174090-000";"0";"tratamento via modulo de imobilizado"
14;"2101";"39201099-000";"0";"tributado"
14;"1556";"73064000-000";"0";"tributado"
14;"1556";"68042211-000";"0";"tributado"
14;"1556";"68053090-000";"0";"tributado"
14;"1556";"73066100-000";"0";"tributado"
14;"1556";"72193400-000";"0";"tributado"
14;"1556";"84342090-000";"0";"monofasico revenda de produtos"
14;"1556";"72193400-000";"0";"tributado"
14;"1556";"84212100-000";"0";"tributado"
14;"2556";"38249979-000";"0";"tributado"
14;"2407";"29159060-000";"0";"tributado"
14;"2556";"34029039-000";"0";"tributado"
14;"2556";"38249979-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"54026900-000";"0";"tributado"
14;"1556";"54026900-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"54026900-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"39162000-000";"0";"tributado"
14;"1556";"85362000-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"85044050-000";"0";"tributado"
14;"1556";"84137080-000";"0";"tributado"
14;"1556";"84672999-000";"0";"tributado"
14;"1556";"28151200-000";"0";"tributado"
14;"1556";"90328982-000";"0";"tributado"
14;"2556";"39262000-000";"0";"sem direito"
14;"2101";"39209990-000";"0";"tributado"
14;"2556";"38140090-000";"0";"tributado"
14;"1556";"84669490-000";"0";"tributado"
14;"2556";"40169300-000";"0";"tributado"
14;"2556";"84389000-000";"0";"tributado"
14;"2556";"84389000-000";"0";"tributado"
14;"2556";"84389000-000";"0";"tributado"
