"char_length";"cfop";"ncm";"coalesce";"y"
14;"2403";"39174090-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"2102";"38089196-000";"0";"aliquota zero"
14;"2102";"56074900-000";"0";"tributado"
14;"2102";"30049099-000";"0";"monofasico revenda de produtos"
14;"2102";"30049062-000";"0";"monofasico revenda de produtos"
14;"2102";"30049067-000";"0";"monofasico revenda de produtos"
14;"2102";"30042019-000";"0";"monofasico revenda de produtos"
14;"2102";"40151900-000";"0";"tributado"
14;"2102";"61161000-000";"0";"tributado"
14;"2102";"12099100-000";"0";"aliquota zero"
14;"1653";"27101921-000";"0";"tributado"
14;"2102";"12099100-000";"0";"aliquota zero"
14;"2102";"30049071-000";"0";"monofasico revenda de produtos"
14;"2102";"30041013-000";"0";"monofasico revenda de produtos"
14;"2403";"39219090-000";"0";"tributado"
14;"2403";"38089119-000";"0";"tributado"
14;"2403";"39219090-000";"0";"tributado"
11;"5102";"82031010-000";"0";"tributado"
14;"2403";"44170090-000";"0";"tributado"
14;"2403";"82041100-000";"0";"tributado"
14;"2403";"90251190-000";"0";"tributado"
14;"2102";"63079010-000";"0";"tributado"
14;"2102";"73209000-000";"0";"tributado"
14;"2403";"82052000-000";"0";"tributado"
14;"2403";"73199000-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
11;"5102";"38089329-000";"0";"aliquota zero"
11;"5102";"38089199-000";"0";"aliquota zero"
11;"5102";"85392200-000";"0";"tributado"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"39259090-000";"0";"tributado"
11;"5102";"34022000-000";"0";"tributado"
11;"5102";"56075090-000";"0";"tributado"
11;"5102";"25010019-000";"0";"tributado"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"25010019-000";"0";"tributado"
11;"5102";"30039099-000";"0";"monofasico revenda de produtos"
11;"5102";"84248129-000";"0";"tributado"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"25010019-000";"0";"tributado"
11;"5102";"39172300-000";"0";"tributado"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"54077200-000";"0";"tributado"
11;"5102";"30023090-000";"0";"aliquota zero"
11;"5102";"30023090-000";"0";"aliquota zero"
11;"5102";"90183119-000";"0";"tributado"
11;"5102";"40151900-000";"0";"tributado"
11;"5102";"23023010-000";"0";"tributado"
11;"5102";"23040090-000";"0";"suspensao"
11;"5102";"10059010-000";"0";"tributado"
11;"5102";"40151900-000";"0";"tributado"
11;"5102";"30049099-000";"0";"monofasico revenda de produtos"
11;"5102";"30049067-000";"0";"monofasico revenda de produtos"
11;"5102";"28332510-000";"0";"tributado"
11;"5102";"30045090-000";"0";"monofasico revenda de produtos"
11;"5102";"30049099-000";"0";"monofasico revenda de produtos"
11;"5102";"39269090-000";"0";"tributado"
11;"5102";"23040090-000";"0";"suspensao"
11;"5102";"30042099-000";"0";"monofasico revenda de produtos"
11;"5102";"30049059-000";"0";"monofasico revenda de produtos"
11;"5102";"82031010-000";"0";"tributado"
11;"5102";"73170090-000";"0";"tributado"
11;"5102";"73170090-000";"0";"tributado"
11;"5102";"90183219-000";"0";"tributado"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"64019200-000";"0";"tributado"
11;"5102";"30049071-000";"0";"monofasico revenda de produtos"
11;"5102";"30042099-000";"0";"monofasico revenda de produtos"
11;"5102";"38089196-000";"0";"aliquota zero"
11;"5102";"30049043-000";"0";"monofasico revenda de produtos"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"23099010-000";"0";"tributado"
11;"5102";"30042059-000";"0";"monofasico revenda de produtos"
11;"5102";"30049099-000";"0";"monofasico revenda de produtos"
11;"5102";"30049079-000";"0";"monofasico revenda de produtos"
11;"5102";"90183219-000";"0";"tributado"
11;"5102";"38089996-000";"0";"aliquota zero"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"23040090-000";"0";"suspensao"
11;"5102";"73121090-000";"0";"tributado"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"28011000-000";"0";"tributado"
11;"5102";"39219090-000";"0";"tributado"
11;"5102";"85462000-000";"0";"tributado"
11;"5102";"85392200-000";"0";"tributado"
11;"5102";"38089996-000";"0";"aliquota zero"
11;"5102";"12092500-000";"0";"aliquota zero"
11;"5102";"23023010-000";"0";"tributado"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"12059010-000";"0";"aliquota zero"
11;"5102";"23023010-000";"0";"tributado"
11;"5102";"23099010-000";"0";"tributado"
11;"5102";"39172300-000";"0";"tributado"
11;"5102";"30023090-000";"0";"aliquota zero"
11;"5102";"34022000-000";"0";"tributado"
11;"5102";"34022000-000";"0";"tributado"
11;"5102";"29251990-000";"0";"tributado"
11;"5102";"54060010-000";"0";"tributado"
11;"5102";"38089324-000";"0";"aliquota zero"
11;"5102";"38089996-000";"0";"aliquota zero"
11;"5102";"23099010-000";"0";"tributado"
11;"5102";"02071400-000";"0";"aliquota zero"
11;"5102";"39269090-000";"0";"tributado"
11;"5102";"82031010-000";"0";"tributado"
11;"5102";"73181500-000";"0";"tributado"
11;"5102";"73181600-000";"0";"tributado"
11;"5102";"73259990-000";"0";"tributado"
11;"5102";"84349000-000";"0";"tributado"
11;"5102";"38089996-000";"0";"aliquota zero"
11;"5102";"12099100-000";"0";"aliquota zero"
11;"5102";"85366990-000";"0";"tributado"
11;"5102";"62011300-000";"0";"tributado"
11;"5102";"38089196-000";"0";"aliquota zero"
11;"5102";"85366990-000";"0";"tributado"
11;"5102";"84349000-000";"0";"tributado"
11;"5102";"23091000-000";"0";"tributado"
11;"5102";"39173290-000";"0";"tributado"
11;"5102";"82019000-000";"0";"tributado"
11;"5102";"85366990-000";"0";"tributado"
11;"5102";"38089119-000";"0";"tributado"
11;"5102";"82014000-000";"0";"tributado"
11;"5102";"30049059-000";"0";"monofasico revenda de produtos"
11;"5102";"39211900-000";"0";"tributado"
11;"5102";"30039019-000";"0";"monofasico revenda de produtos"
11;"5102";"64019200-000";"0";"tributado"
11;"5102";"56075090-000";"0";"tributado"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"30049067-000";"0";"monofasico revenda de produtos"
11;"5102";"30049037-000";"0";"monofasico revenda de produtos"
11;"5102";"23023010-000";"0";"tributado"
11;"5102";"23040090-000";"0";"suspensao"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"39249000-000";"0";"tributado"
11;"5102";"65040090-000";"0";"tributado"
11;"5102";"39259010-000";"0";"tributado"
11;"5102";"84349000-000";"0";"tributado"
11;"5102";"56041000-000";"0";"tributado"
11;"5102";"10041000-000";"0";"aliquota zero"
11;"5102";"23099010-000";"0";"tributado"
11;"5102";"12092900-000";"0";"aliquota zero"
11;"5102";"30042061-000";"0";"monofasico revenda de produtos"
11;"5102";"30042061-000";"0";"monofasico revenda de produtos"
11;"5102";"63079010-000";"0";"tributado"
11;"5102";"72172090-000";"0";"tributado"
11;"5102";"30043911-000";"0";"monofasico revenda de produtos"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"30041012-000";"0";"monofasico revenda de produtos"
11;"5102";"48182000-000";"0";"tributado"
11;"5102";"38089196-000";"0";"aliquota zero"
11;"5102";"38085029-000";"0";"aliquota zero"
14;"5101";"01039100-000";"0";"suspensao"
14;"5101";"01039100-000";"0";"suspensao"
11;"5102";"84818095-000";"0";"tributado"
11;"5102";"85366990-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"82031010-000";"0";"tributado"
11;"5102";"38089192-000";"0";"aliquota zero"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"23040090-000";"0";"suspensao"
11;"5102";"10041000-000";"0";"aliquota zero"
11;"5102";"56075090-000";"0";"tributado"
11;"5102";"12092500-000";"0";"aliquota zero"
11;"5102";"30045090-000";"0";"monofasico revenda de produtos"
11;"5102";"73269090-000";"0";"tributado"
11;"5102";"85366990-000";"0";"tributado"
11;"5102";"65040090-000";"0";"tributado"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"30049079-000";"0";"monofasico revenda de produtos"
11;"5102";"38089199-000";"0";"aliquota zero"
11;"5102";"10059010-000";"0";"suspensao"
11;"5102";"64019200-000";"0";"tributado"
11;"5102";"73182200-000";"0";"tributado"
11;"5102";"04031000-000";"0";"aliquota zero"
11;"5102";"39172300-000";"0";"tributado"
11;"5102";"23091000-000";"0";"tributado"
11;"5102";"39191000-000";"0";"tributado"
11;"5102";"73181500-000";"0";"tributado"
11;"5102";"73181500-000";"0";"tributado"
11;"5102";"73181600-000";"0";"tributado"
11;"5102";"73259990-000";"0";"tributado"
11;"5102";"85366990-000";"0";"tributado"
11;"5102";"39174090-000";"0";"tributado"
11;"5102";"85444900-000";"0";"tributado"
11;"5102";"82075011-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"10059010-000";"0";"suspensao"
11;"5102";"12092900-000";"0";"aliquota zero"
11;"5102";"65040090-000";"0";"tributado"
11;"5102";"23091000-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"40151900-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"73181500-000";"0";"tributado"
11;"5102";"38089996-000";"0";"aliquota zero"
