"cnpj";"cfop";"ncm";"natureza_frete";"y"
11;"1411";"17049090-000";"0";"tributado"
11;"1411";"18062000-000";"0";"tributado"
11;"1411";"18063110-000";"0";"tributado"
11;"1411";"18063210-000";"0";"tributado"
11;"1411";"18063220-000";"0";"tributado"
11;"1411";"18069000-000";"0";"tributado"
11;"1411";"19011010-000";"0";"aliquota zero"
11;"1411";"19011030-000";"0";"tributado"
11;"1411";"19012000-000";"0";"tributado"
11;"1411";"19019020-000";"0";"tributado"
11;"1411";"19019090-000";"0";"tributado"
11;"1411";"19021100-000";"0";"aliquota zero"
11;"1411";"19021900-000";"0";"aliquota zero"
11;"1411";"19022000-000";"0";"aliquota zero"
11;"1411";"19023000-000";"0";"aliquota zero"
11;"1411";"19041000-000";"0";"tributado"
11;"1411";"19042000-000";"0";"tributado"
11;"1411";"19049000-000";"0";"tributado"
11;"1411";"19052010-000";"0";"tributado"
11;"1411";"19052090-000";"0";"tributado"
11;"1411";"19053100-000";"0";"tributado"
11;"1411";"19053200-000";"0";"tributado"
11;"1411";"19054000-000";"0";"tributado"
11;"1411";"19059010-000";"0";"tributado"
11;"1411";"19059020-000";"0";"tributado"
11;"1411";"19059090-000";"0";"tributado"
11;"1411";"20011000-000";"0";"tributado"
11;"1411";"20029090-000";"0";"tributado"
11;"1411";"20041000-000";"0";"tributado"
11;"1411";"20052000-000";"0";"tributado"
11;"1411";"20054000-000";"0";"tributado"
11;"1411";"20057000-000";"0";"tributado"
11;"1411";"20058000-000";"0";"tributado"
11;"1411";"20059900-000";"0";"tributado"
11;"1411";"20060000-000";"0";"tributado"
11;"1411";"20079910-000";"0";"tributado"
11;"1411";"20079990-000";"0";"tributado"
11;"1411";"20081100-000";"0";"tributado"
11;"1411";"20081900-000";"0";"tributado"
11;"1411";"20087010-000";"0";"tributado"
11;"1411";"20098990-000";"0";"tributado"
11;"1411";"21011110-000";"0";"aliquota zero"
11;"1411";"21031010-000";"0";"tributado"
11;"1411";"21032010-000";"0";"tributado"
11;"1411";"21032090-000";"0";"tributado"
11;"1411";"21033021-000";"0";"tributado"
11;"1411";"21039011-000";"0";"tributado"
11;"1411";"21039021-000";"0";"tributado"
11;"1411";"21039091-000";"0";"tributado"
11;"1411";"21041011-000";"0";"tributado"
11;"1411";"21042000-000";"0";"tributado"
11;"1411";"21050010-000";"0";"tributado"
11;"1411";"21069010-000";"0";"aliquota zero"
11;"1411";"21069029-000";"0";"tributado"
11;"1411";"21069030-000";"0";"tributado"
11;"1411";"21069050-000";"0";"tributado"
11;"1411";"22011000-000";"0";"monofasico revenda de produtos"
11;"1411";"22019000-000";"0";"monofasico revenda de produtos"
11;"1411";"22021000-000";"0";"monofasico revenda de produtos"
11;"1411";"22029000-000";"0";"monofasico revenda de produtos"
11;"1411";"22030000-000";"0";"monofasico revenda de produtos"
11;"1411";"22041010-000";"0";"tributado"
11;"1411";"22042911-000";"0";"tributado"
11;"1411";"22051000-000";"0";"tributado"
11;"1411";"22071090-000";"0";"monofasico revenda de produtos"
11;"1411";"22072019-000";"0";"monofasico revenda de produtos"
11;"1411";"22083020-000";"0";"tributado"
11;"1411";"22084000-000";"0";"tributado"
11;"1411";"22086000-000";"0";"tributado"
11;"1411";"22087000-000";"0";"tributado"
11;"1411";"22089000-000";"0";"monofasico revenda de produtos"
11;"1411";"22090000-000";"0";"tributado"
11;"1411";"23091000-000";"0";"tributado"
11;"1411";"23099010-000";"0";"tributado"
11;"1411";"25010090-000";"0";"tributado"
11;"1411";"25059000-000";"0";"tributado"
11;"1411";"25171000-000";"0";"tributado"
11;"1411";"25223000-000";"0";"aliquota zero"
11;"1411";"25232910-000";"0";"tributado"
11;"1411";"27101259-000";"0";"monofasico revenda de produtos"
11;"1411";"27101919-000";"0";"tributado"
11;"1411";"27101921-000";"0";"monofasico revenda de produtos"
11;"1411";"27101932-000";"0";"tributado"
11;"1411";"27101992-000";"0";"tributado"
11;"1411";"27101999-000";"0";"tributado"
11;"1411";"27111910-000";"0";"monofasico revenda de produtos"
11;"1411";"28151100-000";"0";"tributado"
11;"1411";"28289011-000";"0";"tributado"
11;"1411";"28470000-000";"0";"tributado"
11;"1411";"32081010-000";"0";"tributado"
11;"1411";"32081020-000";"0";"tributado"
11;"1411";"32089039-000";"0";"tributado"
11;"1411";"32091010-000";"0";"tributado"
11;"1411";"32141020-000";"0";"tributado"
11;"1411";"32149000-000";"0";"tributado"
11;"1411";"33043000-000";"0";"monofasico revenda de produtos"
11;"1411";"33049910-000";"0";"monofasico revenda de produtos"
11;"1411";"33049990-000";"0";"monofasico revenda de produtos"
11;"1411";"33051000-000";"0";"monofasico revenda de produtos"
11;"1411";"33059000-000";"0";"monofasico revenda de produtos"
11;"1411";"33061000-000";"0";"aliquota zero"
11;"1411";"33069000-000";"0";"aliquota zero"
11;"1411";"33071000-000";"0";"monofasico revenda de produtos"
11;"1411";"33072010-000";"0";"monofasico revenda de produtos"
11;"1411";"33072090-000";"0";"monofasico revenda de produtos"
11;"1411";"33074900-000";"0";"monofasico revenda de produtos"
11;"1411";"33079000-000";"0";"monofasico revenda de produtos"
11;"1411";"34011190-000";"0";"monofasico revenda de produtos"
11;"1411";"34011900-000";"0";"tributado"
11;"1411";"34013000-000";"0";"tributado"
11;"1411";"34022000-000";"0";"tributado"
11;"1411";"34029039-000";"0";"tributado"
11;"1411";"34029090-000";"0";"tributado"
11;"1411";"34049029-000";"0";"tributado"
11;"1411";"34051000-000";"0";"tributado"
11;"1411";"34052000-000";"0";"tributado"
11;"1411";"34059000-000";"0";"tributado"
11;"1411";"35030019-000";"0";"tributado"
11;"1411";"35061090-000";"0";"tributado"
11;"1411";"38089119-000";"0";"tributado"
11;"1411";"38089419-000";"0";"tributado"
11;"1411";"38089996-000";"0";"aliquota zero"
11;"1411";"38099190-000";"0";"tributado"
11;"1411";"38112110-000";"0";"tributado"
11;"1411";"38119090-000";"0";"tributado"
11;"1411";"38140090-000";"0";"tributado"
11;"1411";"38160019-000";"0";"tributado"
11;"1411";"38190000-000";"0";"tributado"
11;"1411";"38220090-000";"0";"tributado"
11;"1411";"38244000-000";"0";"tributado"
11;"1411";"38245000-000";"0";"tributado"
11;"1411";"39095019-000";"0";"tributado"
11;"1411";"39169090-000";"0";"tributado"
11;"1411";"39171010-000";"0";"tributado"
11;"1411";"39173290-000";"0";"tributado"
11;"1411";"39173900-000";"0";"tributado"
11;"1411";"39174090-000";"0";"tributado"
11;"1411";"39191000-000";"0";"tributado"
11;"1411";"39232190-000";"0";"tributado"
11;"1411";"39233000-000";"0";"monofasico revenda de produtos"
11;"1411";"39239000-000";"0";"tributado"
11;"1411";"39241000-000";"0";"tributado"
11;"1411";"39249000-000";"0";"tributado"
11;"1411";"39251000-000";"0";"tributado"
11;"1411";"39269090-000";"0";"tributado"
11;"1411";"40103900-000";"0";"tributado"
11;"1411";"40111000-000";"0";"monofasico revenda de produtos"
